time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20161205:0600,9.43,71.85,0.0,0.0,0.0,307.6,3.38,89.0,95718.0
20161205:0700,9.3,69.75,65.0,255.93,39.0,292.8,3.45,75.0,95765.0
20161205:0800,10.19,65.25,242.0,524.3,97.0,291.0,3.31,73.0,95822.0
20161205:0900,11.59,57.3,218.0,50.16,197.0,305.6,4.21,86.0,95897.0
20161205:1000,12.61,52.45,458.0,455.35,222.0,313.6,4.83,97.0,95869.0
20161205:1100,13.62,47.65,240.0,10.55,234.0,312.6,4.83,102.0,95775.0
20161205:1200,14.28,45.6,629.0,996.28,65.0,327.4,4.41,104.0,95709.0
20161205:1300,15.1,43.95,438.0,410.9,228.0,324.8,3.86,100.0,95643.0
20161205:1400,15.38,44.05,429.0,901.24,62.0,319.6,3.17,90.0,95615.0
20161205:1500,15.4,44.65,240.0,634.51,74.0,311.6,3.31,82.0,95633.0
20161205:1600,14.94,47.6,36.0,59.39,31.0,310.6,3.17,76.0,95662.0
20161205:1700,13.67,54.75,0.0,0.0,0.0,305.0,3.03,66.0,95709.0
20161205:1800,12.82,59.05,0.0,0.0,0.0,310.2,3.17,62.0,95765.0
20161205:1900,12.95,57.75,0.0,0.0,0.0,320.0,3.31,44.0,95812.0
20161205:2000,12.36,59.5,0.0,0.0,0.0,315.0,3.66,40.0,95831.0
20161205:2100,11.72,63.05,0.0,0.0,0.0,312.0,4.07,35.0,95840.0
20161205:2200,11.1,68.65,0.0,0.0,0.0,312.8,4.55,30.0,95869.0
20161205:2300,10.21,76.3,0.0,0.0,0.0,295.0,4.76,24.0,95831.0
20161206:0000,9.69,81.1,0.0,0.0,0.0,300.2,4.83,19.0,95840.0
20161206:0100,9.18,83.75,0.0,0.0,0.0,294.2,4.9,13.0,95831.0
20161206:0200,9.01,84.15,0.0,0.0,0.0,302.6,5.03,9.0,95840.0
20161206:0300,8.91,84.3,0.0,0.0,0.0,307.8,5.1,7.0,95822.0
20161206:0400,8.7,85.55,0.0,0.0,0.0,302.8,5.17,8.0,95793.0
20161206:0500,8.57,86.25,0.0,0.0,0.0,306.4,5.24,8.0,95793.0
20161206:0600,8.29,87.3,0.0,0.0,0.0,296.4,5.24,7.0,95840.0
20161206:0700,8.72,85.0,55.0,151.49,40.0,294.8,5.52,5.0,95878.0
20161206:0800,9.86,79.95,251.0,613.09,83.0,287.0,5.31,4.0,95944.0
20161206:0900,11.9,70.8,387.0,576.52,147.0,306.2,6.0,9.0,95944.0
20161206:1000,13.88,62.65,545.0,852.51,105.0,314.8,6.21,14.0,95982.0
20161206:1100,15.51,56.2,604.0,861.09,116.0,313.2,6.07,20.0,95935.0
20161206:1200,16.79,51.3,608.0,892.61,104.0,314.2,6.07,25.0,95822.0
20161206:1300,17.39,49.5,559.0,974.5,62.0,316.6,6.28,30.0,95746.0
20161206:1400,17.58,49.65,428.0,900.25,62.0,318.4,6.69,31.0,95718.0
20161206:1500,17.1,52.6,216.0,440.05,101.0,315.2,7.03,32.0,95746.0
20161206:1600,16.09,58.55,43.0,130.58,32.0,313.6,6.28,34.0,95765.0
20161206:1700,14.55,66.4,0.0,0.0,0.0,307.8,6.14,34.0,95850.0
20161206:1800,13.42,72.95,0.0,0.0,0.0,306.0,6.28,31.0,95925.0
20161206:1900,12.61,78.5,0.0,0.0,0.0,302.8,6.0,27.0,96010.0
20161206:2000,11.89,82.45,0.0,0.0,0.0,303.2,5.72,26.0,96038.0
20161206:2100,11.22,85.65,0.0,0.0,0.0,296.2,5.38,27.0,96019.0
20161206:2200,10.73,87.3,0.0,0.0,0.0,293.4,5.24,24.0,96047.0
20161206:2300,10.38,87.3,0.0,0.0,0.0,295.4,5.24,18.0,96038.0
20161207:0000,10.07,86.3,0.0,0.0,0.0,291.0,5.52,13.0,96029.0
20161207:0100,9.96,83.75,0.0,0.0,0.0,294.8,5.72,10.0,96029.0
20161207:0200,9.99,80.7,0.0,0.0,0.0,299.8,5.72,9.0,96010.0
20161207:0300,9.93,78.95,0.0,0.0,0.0,297.0,5.79,10.0,95991.0
